PO,TRP,0,10,20,30,40,50,60,70,80,90,,,
,,,,,,,,,,,,,,71
,,,,,,,,,,,,,,72
,,,,,,,,,,,,,,73
,,,,,,,,,,,,,,74
,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,80
,,,,,,,,,,,,,,81
,,,,,,,,,,,,,,82
,,,,,,,,,,,,,,83
,,,,,,,,,,,,,,84
,,,,,,,,,,,,,,85
,,,,,,,,,,,,,,86
,,,,,,,,,,,,,,87
,,,,,,,,,,,,,,88
,,,,,,,,,,,,,,89
,,,,,,,,,,,,,,90
,,,,,,,,,,,,,,91
,,,,,,,,,,,,,,92
,,,,,,,,,,,,,,93
,,,,,,,,,,,,,,94
,,,,,,,,,,,,,,95
,,,,,,,,,,,,,,96
,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,98
,,,,,,,,,,,,,,99
,,,,,,,,,,,,,,100
