Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Abdur Razzak,2010-2014,46,28,11,221,53,13,229,96.5,0,1,5,15,7
Sohag Gazi,2012-2014,20,16,4,184,30,15.33,213,86.38,0,0,0,18,4
Raqibul Hasan,2010-2011,9,9,1,154,65,19.25,249,61.84,0,1,3,9,2
Ziaur Rahman,2013-2014,13,11,0,124,41,11.27,110,112.72,0,0,3,13,6
Jahurul Islam,2012-2013,8,7,0,114,53,16.28,159,71.69,0,1,2,12,1
Mohammad Ashraful,2010-2013,14,13,0,114,29,8.76,211,54.02,0,0,2,16,0
Liton Das,2015-2015,6,6,1,100,36,20,124,80.64,0,0,1,11,1
Rubel Hossain,2011-2015,46,24,12,79,17,6.58,124,63.7,0,0,4,9,1
Shafiul Islam,2010-2014,33,18,5,75,24,5.76,134,55.97,0,0,6,8,1
Shuvagata Hom,2011-2011,4,3,1,70,35,35,86,81.39,0,0,0,9,0
Alok Kapali,2011-2011,4,4,0,65,20,16.25,116,56.03,0,0,0,5,0
Suhrawadi Shuvo,2010-2011,10,5,2,58,20,19.33,79,73.41,0,0,0,6,0
Nazimuddin,2012-2012,4,4,0,57,30,14.25,107,53.27,0,0,0,5,1
Arafat Sunny,2014-2015,13,8,6,27,14,13.5,74,36.48,0,0,1,2,0
Mohammad Mithun,2014-2014,2,1,0,26,26,26,39,66.66,0,0,0,5,0
Farhad Reza,2011-2011,2,2,0,22,21,11,35,62.85,0,0,0,2,0
Mustafizur Rahman,2015-2015,6,3,2,9,9,9,28,32.14,0,0,0,1,0
Jubair Hossain,2014-2015,3,1,0,5,5,5,9,55.55,0,0,0,1,0
Abul Hasan,2012-2015,6,2,0,4,3,2,9,44.44,0,0,0,0,0
Al-Amin Hossain,2014-2014,11,5,3,3,2,1.5,13,23.07,0,0,2,0,0
Taskin Ahmed,2014-2015,14,6,3,3,2,1,11,27.27,0,0,1,0,0
Elias Sunny,2011-2012,4,4,2,2,1,1,11,18.18,0,0,1,0,0
Nazmul Hossain,2011-2012,4,1,1,0,0,-,0,-,0,0,0,0,0
Robiul Islam,2013-2013,3,1,1,0,0,-,1,0,0,0,0,0,0
Shahadat Hossain,2012-2013,5,2,2,0,0,-,8,0,0,0,0,0,0
Taijul Islam,2014-2015,2,-,-,-,-,-,-,-,-,-,-,-,-
IR Bell,2011-2015,78,77,6,2794,141,39.35,3394,82.32,3,19,2,263,21
EJG Morgan,2011-2015,96,87,11,2740,124,36.05,2965,92.41,4,18,8,212,75
AN Cook,2011-2014,66,66,4,2346,137,37.83,2952,79.47,4,14,4,270,9
IJL Trott,2011-2013,57,54,9,2336,137,51.91,3011,77.58,3,17,4,174,3
JE Root,2013-2015,59,55,6,2076,121,42.36,2492,83.3,6,9,2,167,17
RS Bopara,2011-2015,66,59,11,1555,101,32.39,1910,81.41,1,10,2,103,18
JC Buttler,2012-2015,61,52,7,1467,129,32.6,1288,113.89,2,7,5,127,38
KP Pietersen,2011-2013,32,31,1,1108,130,36.93,1276,86.83,2,5,2,112,17
MM Ali,2014-2015,27,27,1,784,128,30.15,774,101.29,2,3,1,75,26
JWA Taylor,2011-2015,23,22,3,738,101,38.84,934,79.01,1,5,2,59,7
C Kieswetter,2011-2013,34,28,5,734,72,31.91,799,91.86,0,4,2,70,24
BA Stokes,2011-2015,34,29,2,544,70,20.14,631,86.21,0,2,3,50,10
AJ Strauss,2011-2011,14,14,0,513,158,36.64,574,89.37,1,3,2,51,3
TT Bresnan,2011-2015,52,37,9,463,45,16.53,542,85.42,0,0,4,40,5
CR Woakes,2011-2015,37,31,8,420,42,18.26,537,78.21,0,0,4,28,2
AD Hales,2014-2015,20,19,0,408,67,21.47,464,87.93,0,2,2,49,11
SR Patel,2011-2013,25,17,7,366,70,36.6,393,93.12,0,1,1,31,8
JJ Roy,2015-2015,11,10,0,299,67,29.9,288,103.81,0,2,1,47,1
GS Ballance,2013-2015,16,15,1,297,79,21.21,443,67.04,0,2,1,21,1
JM Bairstow,2011-2015,12,10,2,260,83,32.5,275,94.54,0,1,0,25,5
MJ Prior,2011-2011,13,12,1,216,67,19.63,245,88.16,0,1,2,25,1
GP Swann,2011-2013,36,21,8,205,31,15.76,187,109.62,0,0,2,23,3
MJ Lumb,2014-2014,3,3,0,165,106,55,203,81.28,1,0,0,12,3
AU Rashid,2015-2015,11,8,3,164,69,32.8,151,108.6,0,1,1,22,2
JC Tredwell,2011-2015,43,24,10,161,30,11.5,235,68.51,0,0,3,9,4
MH Yardy,2011-2011,9,8,2,156,60,26,196,79.59,0,1,0,11,1
SCJ Broad,2011-2015,46,23,11,138,28,11.5,167,82.63,0,0,3,10,4
CJ Jordan,2013-2015,24,18,6,137,38,11.41,155,88.38,0,0,3,12,3
ST Finn,2011-2015,65,28,12,131,35,8.18,216,60.64,0,0,7,11,3
LE Plunkett,2011-2015,6,6,1,119,44,23.8,88,135.22,0,0,0,9,7
JM Anderson,2011-2015,61,23,14,114,28,12.66,157,72.61,0,0,3,13,0
MA Carberry,2013-2014,6,6,0,114,63,19,180,63.33,0,1,0,14,0
PD Collingwood,2011-2011,8,8,2,114,30,19,113,100.88,0,0,0,6,2
LJ Wright,2011-2014,8,8,1,107,44,15.28,160,66.87,0,0,2,11,0
SW Billings,2015-2015,5,4,0,90,41,22.5,68,132.35,0,0,0,11,1
SM Davies,2011-2011,2,2,0,42,42,21,41,102.43,0,0,1,5,0
A Shahzad,2011-2011,7,7,2,34,9,6.8,51,66.66,0,0,0,0,3
DJ Willey,2015-2015,6,4,1,27,12,9,29,93.1,0,0,1,2,1
MA Wood,2015-2015,7,3,2,26,13,26,27,96.29,0,0,0,3,0
JW Dernbach,2011-2013,24,8,1,19,5,2.71,39,48.71,0,0,1,1,0
SG Borthwick,2011-2011,2,2,0,18,15,9,16,112.5,0,0,0,1,1
HF Gurney,2014-2014,10,6,4,15,6,7.5,33,45.45,0,0,0,1,0
CT Tremlett,2011-2011,6,5,2,12,7,4,24,50,0,0,0,0,1
RJW Topley,2015-2015,1,1,0,6,6,6,27,22.22,0,0,0,0,0
WB Rankin,2013-2014,7,2,1,5,4,5,5,100,0,0,0,0,0
SC Meaker,2011-2011,2,2,0,2,1,1,16,12.5,0,0,0,0,0
ZS Ansari,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
DR Briggs,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
SD Parry,2014-2014,2,-,-,-,-,-,-,-,-,-,-,-,-
JM Vince,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
V Kohli,2010-2015,129,124,19,5441,183,51.81,5950,91.44,19,26,8,512,56
RG Sharma,2010-2015,87,84,11,3375,264,46.23,3946,85.52,6,22,5,301,87
MS Dhoni,2011-2015,96,81,28,3057,139,57.67,3378,90.49,2,23,1,241,69
SK Raina,2010-2015,117,103,17,2988,110,34.74,3087,96.79,2,19,9,256,62
S Dhawan,2011-2015,66,65,3,2724,137,43.93,3048,89.37,8,14,1,323,33
G Gambhir,2010-2013,47,47,3,1887,138,42.88,2189,86.2,4,13,4,194,1
AM Rahane,2011-2015,61,60,2,1820,111,31.37,2380,76.47,2,12,6,182,19
RA Jadeja,2010-2015,87,61,22,1269,87,32.53,1441,88.06,0,6,2,105,28
AT Rayudu,2013-2015,31,28,7,952,124,45.33,1219,78.09,2,5,1,78,13
V Sehwag,2011-2013,23,23,0,893,219,38.82,783,114.04,2,2,3,113,15
Yuvraj Singh,2010-2013,38,33,7,851,113,32.73,1057,80.51,1,7,5,98,12
SR Tendulkar,2011-2012,21,21,0,828,120,39.42,966,85.71,3,3,0,89,10
R Ashwin,2010-2015,98,56,18,619,65,16.28,726,85.26,0,1,6,55,4
PA Patel,2010-2012,24,24,2,604,95,27.45,736,82.06,0,4,1,66,7
YK Pathan,2010-2012,20,15,2,434,123,33.38,348,124.71,2,1,1,31,26
KD Karthik,2013-2014,19,16,6,305,69,30.5,440,69.31,0,2,0,32,2
MK Tiwary,2011-2015,11,11,1,285,104,28.5,387,73.64,1,1,0,24,3
M Vijay,2010-2015,12,11,0,253,72,23,372,68.01,0,1,0,23,3
STR Binny,2014-2015,14,11,3,230,77,28.75,246,93.49,0,1,1,23,5
B Kumar,2012-2015,53,27,8,204,31,10.73,264,77.27,0,0,5,19,2
IK Pathan,2011-2012,13,9,3,176,47,29.33,180,97.77,0,0,0,15,4
Harbhajan Singh,2011-2015,22,14,5,154,41,17.11,202,76.23,0,0,2,6,6
RV Uthappa,2014-2015,8,8,1,148,50,21.14,176,84.09,0,1,1,13,3
KM Jadhav,2014-2015,4,4,1,146,105,48.66,137,106.56,1,0,0,17,1
R Dravid,2011-2011,5,5,0,124,69,24.8,160,77.5,0,1,0,9,0
Mohammed Shami,2013-2015,47,21,11,109,25,10.9,125,87.2,0,0,4,7,6
R Vinay Kumar,2011-2013,29,13,4,86,27,9.55,146,58.9,0,0,2,5,2
AR Patel,2014-2015,20,13,5,82,17,10.25,83,98.79,0,0,3,4,5
Z Khan,2010-2012,25,10,0,73,24,7.3,138,52.89,0,0,2,9,0
MK Pandey,2015-2015,1,1,0,71,71,71,86,82.55,0,1,0,4,1
P Kumar,2010-2012,22,9,5,67,25,16.75,67,100,0,0,0,4,3
CA Pujara,2013-2014,5,5,0,51,27,10.2,130,39.23,0,0,2,4,0
UT Yadav,2011-2015,49,16,10,47,17,7.83,80,58.75,0,0,2,7,1
WP Saha,2010-2014,9,5,2,41,16,13.66,56,73.21,0,0,0,5,0
S Badrinath,2011-2011,4,3,0,40,17,13.33,85,47.05,0,0,0,3,0
SS Tiwary,2010-2010,2,1,1,37,37,-,39,94.87,0,0,0,3,1
MM Sharma,2013-2015,24,8,4,31,11,7.75,62,50,0,0,1,5,0
I Sharma,2011-2015,31,13,7,25,7,4.16,67,37.31,0,0,2,2,0
A Mishra,2011-2015,19,7,3,24,9,6,52,46.15,0,0,1,2,0
A Mithun,2011-2011,3,1,0,23,23,23,16,143.75,0,0,0,2,2
MM Patel,2010-2011,25,8,6,13,6,6.5,18,72.22,0,0,1,1,0
PP Chawla,2011-2011,4,2,0,10,8,5,15,66.66,0,0,0,1,0
A Nehra,2010-2011,12,6,1,9,6,1.8,31,29.03,0,0,2,1,0
VR Aaron,2011-2014,9,3,2,8,6,8,15,53.33,0,0,1,1,0
PP Ojha,2012-2012,2,1,0,5,5,5,18,27.77,0,0,0,0,0
S Sreesanth,2010-2011,4,1,0,4,4,4,6,66.66,0,0,0,1,0
AB Dinda,2012-2013,8,2,0,3,3,1.5,6,50,0,0,1,0,0
DS Kulkarni,2014-2015,8,1,1,2,2,-,2,100,0,0,0,0,0
R Sharma,2011-2012,4,1,0,1,1,1,2,50,0,0,0,0,0
Parvez Rasool,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
MJ Guptill,2010-2015,86,84,10,3281,237,44.33,3946,83.14,8,18,7,345,64
KS Williamson,2010-2015,79,74,9,3241,145,49.86,3817,84.9,6,21,1,303,23
LRPL Taylor,2010-2015,78,72,13,3135,131,53.13,3775,83.04,12,14,1,246,58
BB McCullum,2010-2015,79,74,6,2254,119,33.14,2082,108.26,3,13,6,231,83
GD Elliott,2010-2015,43,38,5,1152,104,34.9,1255,91.79,1,6,2,99,21
L Ronchi,2013-2015,56,45,7,974,170,25.63,825,118.06,1,2,5,102,30
NL McCullum,2010-2015,74,53,11,957,65,22.78,1038,92.19,0,4,1,66,32
CJ Anderson,2013-2015,35,31,5,918,131,35.3,744,123.38,1,4,2,76,48
TWM Latham,2012-2015,32,31,5,820,110,31.53,1091,75.16,1,4,1,77,10
JD Ryder,2011-2014,24,20,0,667,107,33.35,677,98.52,2,3,3,77,16
JEC Franklin,2010-2013,35,27,8,634,98,33.36,782,81.07,0,4,2,51,11
RJ Nicol,2011-2013,22,21,2,586,146,30.84,776,75.51,2,2,2,53,13
BJ Watling,2011-2013,15,14,2,444,96,37,614,72.31,0,4,1,44,3
SB Styris,2010-2011,19,15,1,427,59,30.5,516,82.75,0,3,1,35,5
KD Mills,2010-2015,52,32,9,297,32,12.91,320,92.81,0,0,3,21,11
DL Vettori,2010-2015,36,23,8,274,44,18.26,280,97.85,0,0,1,32,1
C Munro,2013-2015,12,9,0,244,85,27.11,259,94.2,0,2,1,20,5
JDS Neesham,2013-2015,19,16,5,238,42,21.63,249,95.58,0,0,2,25,3
TG Southee,2010-2015,63,32,12,233,28,11.65,242,96.28,0,0,5,17,9
JDP Oram,2011-2012,19,14,2,231,59,19.25,213,108.45,0,1,0,20,10
DG Brownlie,2012-2014,10,9,1,203,47,25.37,273,74.35,0,0,0,26,1
AP Devcich,2013-2014,10,9,0,177,58,19.66,236,75,0,1,2,25,0
AM Ellis,2012-2013,15,12,1,154,33,14,184,83.69,0,0,1,10,2
JM How,2010-2011,10,9,0,116,24,12.88,245,47.34,0,0,0,12,1
MJ Santner,2015-2015,5,5,1,97,44,24.25,75,129.33,0,0,0,10,4
MJ McClenaghan,2013-2015,43,13,9,77,34,19.25,120,64.16,0,0,0,7,1
DR Flynn,2012-2012,4,4,0,61,28,15.25,68,89.7,0,0,1,9,1
AF Milne,2012-2015,25,7,4,58,19,19.33,67,86.56,0,0,1,3,1
BM Wheeler,2015-2015,6,4,4,58,39,-,47,123.4,0,0,0,4,3
TA Boult,2012-2015,27,10,6,52,21,13,69,75.36,0,0,0,4,3
GH Worker,2015-2015,2,2,1,41,21,41,63,65.07,0,0,0,4,0
C de Grandhomme,2012-2012,1,1,0,36,36,36,36,100,0,0,0,1,3
MJ Henry,2014-2015,16,5,1,33,20,8.25,39,84.61,0,0,2,3,1
GJ Hopkins,2010-2010,3,3,1,33,16,16.5,32,103.12,0,0,0,4,0
DAJ Bracewell,2011-2015,9,5,1,27,13,6.75,48,56.25,0,0,1,1,0
HD Rutherford,2013-2013,4,4,0,15,11,3.75,56,26.78,0,0,0,2,0
LJ Woodcock,2011-2011,4,2,1,14,11,14,22,63.63,0,0,0,1,0
MD Bates,2012-2012,2,1,0,13,13,13,10,130,0,0,0,1,1
TS Nethula,2012-2012,5,3,1,12,9,6,11,109.09,0,0,1,1,0
HK Bennett,2011-2014,12,5,3,10,4,5,24,41.66,0,0,1,0,0
IS Sodhi,2015-2015,6,2,0,5,5,2.5,15,33.33,0,0,1,0,0
DR Tuffey,2010-2010,1,1,0,4,4,4,5,80,0,0,0,0,0
AJ McKay,2010-2012,10,4,3,2,2,2,13,15.38,0,0,1,0,0
AW Mathieson,2015-2015,1,1,1,0,0,-,0,-,0,0,0,0,0
GW Aldridge,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-,-
Mohammad Hafeez,2010-2015,116,116,8,4013,140,37.15,5024,79.87,10,22,9,412,61
Misbah-ul-Haq,2010-2015,106,99,20,3599,96,45.55,5070,70.98,0,33,4,230,59
Ahmed Shehzad,2011-2015,68,68,1,2366,124,35.31,3194,74.07,6,13,6,250,18
Umar Akmal,2010-2015,88,77,13,2189,102,34.2,2510,87.21,1,15,6,192,41
Shahid Afridi,2010-2015,97,86,9,1743,88,22.63,1313,132.74,0,9,5,147,75
Younis Khan,2010-2015,62,58,4,1475,103,27.31,1977,74.6,1,11,4,111,6
Asad Shafiq,2010-2015,52,50,4,1181,84,25.67,1775,66.53,0,8,4,94,4
Azhar Ali,2011-2015,27,27,3,1117,102,46.54,1476,75.67,2,7,0,106,4
Nasir Jamshed,2012-2015,36,36,1,1065,112,30.42,1532,69.51,3,4,4,101,13
Sarfraz Ahmed,2011-2015,43,35,7,860,101,30.71,984,87.39,1,2,1,65,6
Shoaib Malik,2011-2015,35,32,10,802,112,36.45,868,92.39,1,3,3,71,17
Haris Sohail,2013-2015,22,21,3,774,89,43,934,82.86,0,7,1,59,11
Sohaib Maqsood,2013-2015,25,24,2,725,89,32.95,865,83.81,0,5,1,57,16
Imran Farhat,2010-2013,23,23,1,654,93,29.72,987,66.26,0,6,1,71,2
Kamran Akmal,2011-2013,31,27,1,591,89,22.73,768,76.95,0,3,3,70,6
Wahab Riaz,2010-2015,58,42,10,487,54,15.21,578,84.25,0,2,9,41,18
Fawad Alam,2010-2015,16,16,4,486,114,40.5,640,75.93,1,3,2,33,5
Abdul Razzaq,2010-2011,22,18,4,354,109,25.28,374,94.65,1,1,0,28,12
Mohammad Rizwan,2015-2015,11,9,3,303,75,50.5,298,101.67,0,3,0,28,4
Anwar Ali,2013-2015,17,12,5,251,43,35.85,268,93.65,0,0,0,24,5
Umar Amin,2013-2014,12,12,1,235,59,21.36,329,71.42,0,1,0,25,2
Sohail Tanvir,2011-2014,31,22,6,217,31,13.56,268,80.97,0,0,1,27,4
Saeed Ajmal,2010-2015,81,49,14,215,28,6.14,365,58.9,0,0,8,17,0
Umar Gul,2010-2015,52,28,7,210,39,10,249,84.33,0,0,4,15,8
Sharjeel Khan,2013-2014,11,11,0,194,61,17.63,242,80.16,0,1,1,23,6
Saad Nasim,2015-2015,3,3,1,99,77,49.5,124,79.83,0,1,1,9,1
Babar Azam,2015-2015,3,3,0,91,54,30.33,109,83.48,0,1,0,8,0
Bilawal Bhatti,2013-2015,10,7,1,89,39,14.83,75,118.66,0,0,1,10,2
Abdur Rehman,2010-2014,19,14,4,82,22,8.2,132,62.12,0,0,2,6,1
Hammad Azam,2011-2015,11,7,2,80,36,16,131,61.06,0,0,0,5,2
Imad Wasim,2015-2015,5,2,0,76,61,38,78,97.43,0,1,0,7,0
Aamer Yamin,2015-2015,3,2,1,63,62,63,69,91.3,0,1,0,5,4
Adnan Akmal,2011-2012,5,4,1,62,27,20.66,89,69.66,0,0,0,3,0
Junaid Khan,2011-2015,52,23,11,60,25,5,108,55.55,0,0,5,4,1
Taufeeq Umar,2011-2011,3,3,0,57,31,19,117,48.71,0,0,0,4,1
Yasir Shah,2011-2015,12,5,1,55,32,13.75,60,91.66,0,0,1,5,0
Zulqarnain Haider,2010-2010,4,4,2,48,19,24,68,70.58,0,0,0,3,0
Mohammad Irfan,2012-2015,51,27,18,45,12,5,122,36.88,0,0,5,5,2
Sami Aslam,2015-2015,1,1,0,45,45,45,50,90,0,0,0,7,0
Shahzaib Hasan,2010-2010,1,1,0,39,39,39,42,92.85,0,0,0,6,0
Bilal Asif,2015-2015,2,2,0,38,38,19,42,90.47,0,0,1,6,1
Zulfiqar Babar,2014-2015,5,5,3,35,14,17.5,40,87.5,0,0,0,2,1
Ehsan Adil,2013-2015,6,4,1,27,15,9,42,64.28,0,0,0,2,0
Aizaz Cheema,2011-2012,14,6,3,26,9,8.66,45,57.77,0,0,0,2,0
Mohammad Salman,2011-2011,7,3,1,22,19,11,39,56.41,0,0,1,2,0
Sohail Khan,2011-2015,8,5,1,21,7,5.25,42,50,0,0,0,1,0
Tanvir Ahmed,2011-2011,2,1,0,18,18,18,12,150,0,0,0,1,2
Asad Ali,2013-2013,4,2,0,13,11,6.5,16,81.25,0,0,0,0,1
Usman Salahuddin,2011-2011,2,2,0,13,8,6.5,28,46.42,0,0,0,0,0
Shoaib Akhtar,2010-2011,11,8,5,11,6,3.66,24,45.83,0,0,1,0,1
AB de Villiers,2010-2015,90,86,17,4434,162,64.26,4079,108.7,13,25,1,361,105
HM Amla,2010-2015,93,91,6,4387,159,51.61,4953,88.57,16,20,2,441,30
F du Plessis,2011-2015,80,77,8,2626,126,38.05,3128,83.95,4,19,1,220,33
JP Duminy,2010-2015,86,79,17,2525,150,40.72,2951,85.56,3,14,2,152,43
Q de Kock,2013-2015,50,50,2,1841,135,38.35,2103,87.54,7,5,1,210,19
DA Miller,2010-2015,74,67,18,1686,138,34.4,1720,98.02,2,7,7,127,45
GC Smith,2010-2013,41,40,1,1198,125,30.71,1671,71.69,2,6,0,113,7
RR Rossouw,2014-2015,26,25,2,826,132,35.91,871,94.83,2,4,5,82,19
JH Kallis,2010-2014,25,25,1,741,83,30.87,982,75.45,0,8,2,60,9
CA Ingram,2010-2013,29,28,3,719,105,28.76,898,80.06,2,3,5,74,8
F Behardien,2013-2015,34,28,7,651,70,31,653,99.69,0,4,2,52,15
R McLaren,2012-2014,44,33,13,448,71,22.4,620,72.25,0,1,1,38,6
RJ Peterson,2010-2014,43,26,10,409,68,25.56,494,82.79,0,1,3,37,3
WD Parnell,2010-2015,33,21,8,295,56,22.69,368,80.16,0,1,1,25,4
J Botha,2010-2012,20,18,7,254,44,23.09,275,92.36,0,0,0,23,2
MN van Wyk,2011-2015,11,11,1,230,58,23,323,71.2,0,2,0,28,3
DW Steyn,2010-2015,69,31,5,200,23,7.69,354,56.49,0,0,4,20,4
JA Morkel,2010-2012,10,8,2,160,41,26.66,164,97.56,0,0,0,13,6
AN Petersen,2012-2013,7,7,0,127,37,18.14,158,80.37,0,0,0,16,1
M Morkel,2010-2015,75,30,12,112,22,6.22,172,65.11,0,0,7,10,3
RK Kleinveldt,2013-2013,10,7,0,105,43,15,124,84.67,0,0,1,9,5
D Elgar,2012-2012,5,4,0,93,42,23.25,158,58.86,0,0,0,4,0
VD Philander,2012-2015,23,14,5,78,30,8.66,130,60,0,0,3,7,0
Imran Tahir,2011-2015,47,16,8,74,23,9.25,107,69.15,0,0,1,8,1
KJ Abbott,2013-2015,19,8,2,60,23,10,93,64.51,0,0,0,6,0
LL Tsotsobe,2010-2013,52,20,12,52,16,6.5,107,48.59,0,0,3,6,1
AM Phangiso,2013-2015,15,9,2,46,18,6.57,82,56.09,0,0,3,4,0
D Wiese,2015-2015,3,3,0,34,14,11.33,47,72.34,0,0,0,1,2
K Rabada,2015-2015,8,4,2,30,19,15,53,56.6,0,0,0,4,0
CH Morris,2013-2015,7,4,1,25,12,8.33,38,65.78,0,0,0,3,0
MV Boucher,2011-2011,3,3,1,22,13,11,23,95.65,0,0,0,2,0
JL Ontong,2012-2012,2,1,1,17,17,-,19,89.47,0,0,0,3,0
H Davids,2013-2013,2,2,0,8,7,4,24,33.33,0,0,0,0,0
J Theron,2010-2010,2,1,0,5,5,5,5,100,0,0,0,0,0
CK Langeveldt,2010-2010,2,1,1,4,4,-,2,200,0,0,0,1,0
