Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
JA Morkel,2010-2012,10,7,32.5,0,223,2,2/35,111.5,6.79,98.5,0,0
RR Rossouw,2014-2015,26,3,7.3,0,44,1,17/01/2015,44,5.86,45,0,0
M Shezi,2014-2014,1,1,6,2,8,1,08/01/2015,8,1.33,36,0,0
CA Ingram,2010-2013,29,1,1,0,17,0,-,-,17,-,0,0
HM Amla,2010-2015,93,-,-,-,-,-,-,-,-,-,-,-
MV Boucher,2011-2011,3,-,-,-,-,-,-,-,-,-,-,-
H Davids,2013-2013,2,-,-,-,-,-,-,-,-,-,-,-
Q de Kock,2013-2015,50,-,-,-,-,-,-,-,-,-,-,-
DA Miller,2010-2015,74,-,-,-,-,-,-,-,-,-,-,-
JL Ontong,2012-2012,2,-,-,-,-,-,-,-,-,-,-,-
AN Petersen,2012-2013,7,-,-,-,-,-,-,-,-,-,-,-
GC Smith,2010-2013,41,-,-,-,-,-,-,-,-,-,-,-
MN van Wyk,2011-2015,11,-,-,-,-,-,-,-,-,-,-,-
SL Malinga,2010-2015,116,113,931.3,51,5080,181,6/38,28.06,5.45,30.8,4,6
NLTC Perera,2010-2015,96,92,600.5,19,3453,107,6/44,32.27,5.74,33.6,3,2
KMDN Kulasekara,2010-2015,89,88,679.5,46,3486,88,22/05/2015,39.61,5.12,46.3,1,1
AD Mathews,2010-2015,132,108,597.1,35,2736,73,29/04/2015,37.47,4.58,49,1,0
BAW Mendis,2011-2014,39,38,322.5,17,1623,70,4/46,23.18,5.02,27.6,4,0
HMRKB Herath,2011-2015,62,60,484.2,16,2147,65,20/04/2015,33.03,4.43,44.7,1,0
SMSM Senanayake,2012-2015,46,44,379.4,11,1802,52,13/04/2015,34.65,4.74,43.8,1,0
TM Dilshan,2010-2015,131,93,466,8,2316,50,04/04/2015,46.32,4.96,55.9,1,0
RAS Lakmal,2011-2015,32,32,251,16,1349,49,30/04/2015,27.53,5.37,30.7,1,0
KTGD Prasad,2011-2015,19,19,133.1,2,759,27,17/03/2015,28.11,5.69,29.5,0,0
BMAJ Mendis,2010-2015,50,42,195.5,2,1015,24,15/03/2015,42.29,5.18,48.9,0,0
S Prasanna,2011-2015,25,25,208.1,6,1106,22,3/32,50.27,5.31,56.7,0,0
RMS Eranga,2011-2015,17,16,112.2,4,652,20,3/46,32.6,5.8,33.7,0,0
M Muralitharan,2010-2011,13,12,107,3,441,19,25/04/2015,23.21,4.12,33.7,1,0
S Randiv,2010-2014,12,12,91.1,0,514,17,5/42,30.23,5.63,32.1,0,1
MF Maharoof,2012-2012,10,10,83,2,432,12,3/40,36,5.2,41.5,0,0
CRD Fernando,2010-2012,8,8,71.1,5,378,11,26/03/2015,34.36,5.31,38.8,0,0
PVD Chameera,2015-2015,3,3,17.1,0,140,5,3/51,28,8.15,20.6,0,0
PC de Silva,2014-2014,6,6,48.4,2,233,5,2/29,46.6,4.78,58.4,0,0
SMA Priyanjan,2013-2015,23,14,44.1,1,233,5,11/02/2015,46.6,5.27,53,0,0
N Pradeep,2012-2015,5,5,37.2,1,213,4,2/63,53.25,5.7,56,0,0
SS Pathirana,2015-2015,3,3,29,0,200,3,2/70,66.66,6.89,58,0,0
TAM Siriwardana,2015-2015,5,4,15.1,0,79,3,19/01/2015,26.33,5.2,30.3,0,0
HDRL Thirimanne,2012-2015,96,4,17.2,0,94,3,2/36,31.33,5.42,34.6,0,0
PLS Gamage,2014-2015,5,5,37,2,224,2,1/59,112,6.05,111,0,0
ST Jayasuriya,2011-2011,1,1,6,0,46,1,1/46,46,7.66,36,0,0
DPMD Jayawardene,2010-2015,122,1,1.5,0,5,1,05/01/2015,5,2.72,11,0,0
MDK Perera,2014-2014,1,1,9,0,53,1,1/53,53,5.88,54,0,0
TT Samaraweera,2011-2011,12,1,2,0,4,1,04/01/2015,4,2,12,0,0
S Weerakoon,2012-2012,2,1,10,0,49,1,1/49,49,4.9,60,0,0
LHD Dilhara,2013-2013,1,1,8,0,40,0,-,-,5,-,0,0
SHT Kandamby,2011-2014,6,1,1,0,9,0,-,-,9,-,0,0
CK Kapugedera,2011-2012,10,3,4,0,25,0,-,-,6.25,-,0,0
FDM Karunaratne,2011-2015,17,1,1.4,0,11,0,-,-,6.6,-,0,0
PHT Kaushal,2015-2015,1,1,6,0,25,0,-,-,4.16,-,0,0
CKB Kulasekara,2011-2012,4,4,13,0,80,0,-,-,6.15,-,0,0
J Mubarak,2013-2013,2,2,3,0,19,0,-,-,6.33,-,0,0
AK Perera,2013-2014,3,1,3,0,17,0,-,-,5.66,-,0,0
LPC Silva,2010-2011,14,1,3,0,12,0,-,-,4,-,0,0
I Udana,2012-2012,2,2,12,0,84,0,-,-,7,-,0,0
KDK Vithanage,2013-2014,6,2,2,0,17,0,-,-,8.5,-,0,0
LD Chandimal,2011-2015,96,-,-,-,-,-,-,-,-,-,-,-
A Dananjaya,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-
N Dickwella,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-
MDKJ Perera,2013-2015,48,-,-,-,-,-,-,-,-,-,-,-
KC Sangakkara,2010-2015,128,-,-,-,-,-,-,-,-,-,-,-
WU Tharanga,2010-2015,74,-,-,-,-,-,-,-,-,-,-,-
SP Narine,2011-2014,52,52,470.4,31,1934,73,27/05/2015,26.49,4.1,38.6,4,1
KAJ Roach,2011-2015,54,53,445.2,35,2228,73,27/06/2015,30.52,5,36.6,1,2
DJ Bravo,2011-2014,57,55,375.1,10,2153,70,6/43,30.75,5.73,32.1,2,1
R Rampaul,2011-2014,40,39,329.3,12,1688,66,5/49,25.57,5.12,29.9,5,2
AD Russell,2011-2015,50,49,352.5,13,2048,64,4/35,32,5.8,33,5,0
DJG Sammy,2011-2015,83,78,527.4,25,2516,50,21/03/2015,50.32,4.76,63.3,0,0
JO Holder,2013-2015,33,33,259.2,20,1469,46,13/04/2015,31.93,5.66,33.8,3,0
MN Samuels,2011-2015,67,49,298.1,11,1433,28,10/02/2015,51.17,4.8,63.8,0,0
JE Taylor,2014-2015,13,13,110.5,3,682,25,15/03/2015,27.28,6.15,26.6,0,0
SJ Benn,2011-2015,16,16,132.5,5,684,21,18/04/2015,32.57,5.14,37.9,3,0
TL Best,2012-2014,14,14,125.5,6,680,21,4/46,32.38,5.4,35.9,1,0
D Bishoo,2011-2011,13,13,111,3,476,20,3/34,23.8,4.28,33.3,0,0
KA Pollard,2011-2014,61,37,145,0,844,14,2/39,60.28,5.82,62.1,0,0
A Martin,2011-2011,9,9,74,5,296,11,4/36,26.9,4,40.3,1,0
NO Miller,2011-2015,13,11,85,2,421,11,4/45,38.27,4.95,46.3,1,0
V Permaul,2012-2013,6,6,51.1,0,240,8,3/40,30,4.69,38.3,0,0
CH Gayle,2011-2015,49,13,67.4,1,344,7,21/02/2015,49.14,5.08,58,0,0
DR Smith,2012-2015,28,10,36,0,225,5,07/02/2015,45,6.25,43.2,0,0
SS Cottrell,2015-2015,2,2,13,0,107,2,2/39,53.5,8.23,39,0,0
ML Cummins,2014-2014,1,1,6,1,42,1,1/42,42,7,36,0,0
LMP Simmons,2011-2015,49,11,25,0,163,1,03/01/2015,163,6.52,150,0,0
CR Brathwaite,2011-2015,4,3,24,1,116,0,-,-,4.83,-,0,0
N Deonarine,2013-2015,11,8,30,2,163,0,-,-,5.43,-,0,0
DS Smith,2011-2013,15,2,2.5,0,17,0,-,-,6,-,0,0
AB Barath,2011-2012,9,-,-,-,-,-,-,-,-,-,-,-
CS Baugh,2011-2012,17,-,-,-,-,-,-,-,-,-,-,-
DM Bravo,2011-2015,71,-,-,-,-,-,-,-,-,-,-,-
JL Carter,2015-2015,10,-,-,-,-,-,-,-,-,-,-,-
S Chanderpaul,2011-2011,7,-,-,-,-,-,-,-,-,-,-,-
J Charles,2012-2015,32,-,-,-,-,-,-,-,-,-,-,-
KA Edwards,2011-2014,16,-,-,-,-,-,-,-,-,-,-,-
DP Hyatt,2011-2011,9,-,-,-,-,-,-,-,-,-,-,-
LR Johnson,2015-2015,3,-,-,-,-,-,-,-,-,-,-,-
JN Mohammed,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-
KOA Powell,2011-2014,26,-,-,-,-,-,-,-,-,-,-,-
D Ramdin,2011-2015,46,-,-,-,-,-,-,-,-,-,-,-
RR Sarwan,2011-2013,25,-,-,-,-,-,-,-,-,-,-,-
DC Thomas,2011-2013,19,-,-,-,-,-,-,-,-,-,-,-
CAK Walton,2014-2014,3,-,-,-,-,-,-,-,-,-,-,-
P Utseya,2010-2015,48,48,449,15,2160,46,5/36,46.95,4.81,58.5,1,1
TL Chatara,2013-2015,27,27,244,19,1269,37,3/35,34.29,5.2,39.5,0,0
T Panyangara,2011-2015,36,36,309.5,25,1829,32,3/66,57.15,5.9,58,0,0
RW Price,2010-2012,23,23,215,18,917,26,16/03/2015,35.26,4.26,49.6,0,0
BV Vitori,2011-2015,19,19,161.2,4,946,26,20/05/2015,36.38,5.86,37.2,0,2
CB Mpofu,2010-2015,23,23,193.5,10,1081,24,4/62,45.04,5.57,48.4,1,0
SC Williams,2011-2015,45,41,282,11,1395,24,3/72,58.12,4.94,70.5,0,0
E Chigumbura,2010-2015,71,39,198,1,1112,18,3/39,61.77,5.61,66,0,0
KM Jarvis,2011-2013,15,15,134,8,799,17,18/02/2015,47,5.96,47.2,0,0
SW Masakadza,2010-2014,12,12,104.1,4,654,17,4/46,38.47,6.27,36.7,2,0
J Nyumbu,2014-2015,19,18,140.4,3,738,17,3/42,43.41,5.24,49.6,0,0
AG Cremer,2010-2015,19,19,145,2,771,15,31/03/2015,51.4,5.31,58,0,0
N Madziva,2014-2015,8,8,61,0,384,13,4/49,29.53,6.29,28.1,1,0
H Masakadza,2010-2015,62,38,134.1,1,668,13,27/02/2015,51.38,4.97,61.9,0,0
Sikandar Raza,2013-2015,45,24,111,2,602,12,3/49,50.16,5.42,55.5,0,0
DT Tiripano,2014-2015,7,7,56.5,5,324,12,5/63,27,5.7,28.4,0,1
WP Masakadza,2015-2015,6,6,53.1,5,241,10,21/04/2015,24.1,4.53,31.9,1,0
LM Jongwe,2014-2015,12,12,79,6,430,9,16/03/2015,47.77,5.44,52.6,0,0
CJ Chibhabha,2010-2015,32,22,93,7,446,8,25/02/2015,55.75,4.79,69.7,0,0
T Kamungozi,2014-2015,10,10,76,1,385,7,2/36,55,5.06,65.1,0,0
TS Chisoro,2015-2015,3,3,25,2,97,6,16/03/2015,16.16,3.88,25,0,0
CT Mutombodzi,2013-2015,9,7,45.5,0,238,6,2/33,39.66,5.19,45.8,0,0
KO Meth,2010-2012,6,6,49.4,1,323,5,2/52,64.6,6.5,59.6,0,0
SF Mire,2014-2015,10,8,35.3,0,230,5,3/49,46,6.47,42.6,0,0
MN Waller,2011-2015,34,19,54,0,257,5,09/01/2015,51.4,4.75,64.8,0,0
GA Lamb,2011-2011,6,6,40,0,200,4,21/02/2015,50,5,60,0,0
N M'shangwe,2011-2014,6,6,56,4,260,3,2/50,86.66,4.64,112,0,0
N Ncube,2011-2011,1,1,8.5,1,69,3,3/69,23,7.81,17.6,0,0
KM Dabengwa,2010-2010,4,4,22,0,112,2,17/01/2015,56,5.09,66,0,0
T Mupariwa,2015-2015,4,4,35,1,201,2,1/36,100.5,5.74,105,0,0
T Muzarabani,2015-2015,1,1,9.5,1,43,2,2/43,21.5,4.37,29.5,0,0
MT Chinouya,2013-2013,2,2,11,0,50,1,1/36,50,4.54,66,0,0
IA Nicolson,2010-2010,1,1,7,0,74,1,1/74,74,10.57,42,0,0
V Sibanda,2011-2015,39,4,21.3,0,117,1,1/45,117,5.44,129,0,0
T Maruma,2013-2014,8,2,3,0,26,0,-,-,8.66,-,0,0
BRM Taylor,2010-2015,60,6,19,0,106,0,-,-,5.57,-,0,0
RW Chakabva,2010-2015,31,-,-,-,-,-,-,-,-,-,-,-
BB Chari,2015-2015,4,-,-,-,-,-,-,-,-,-,-,-
CK Coventry,2011-2015,5,-,-,-,-,-,-,-,-,-,-,-
CR Ervine,2010-2015,31,-,-,-,-,-,-,-,-,-,-,-
R Kaia,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-
S Matsikenyeri,2012-2015,4,-,-,-,-,-,-,-,-,-,-,-
TMK Mawoyo,2012-2014,5,-,-,-,-,-,-,-,-,-,-,-
PJ Moor,2014-2014,2,-,-,-,-,-,-,-,-,-,-,-
F Mutizwa,2011-2011,8,-,-,-,-,-,-,-,-,-,-,-
R Mutumbami,2014-2015,20,-,-,-,-,-,-,-,-,-,-,-
T Taibu,2010-2012,25,-,-,-,-,-,-,-,-,-,-,-
